ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;19;7;16:00;69
LEMD_DCL;19;7;17:00;68
LEMD_DCL;19;7;18:00;71
LEMD_DCL;19;7;19:00;69
LEMD_DCL;19;7;20:00;70
LEMD_DCL;19;7;21:00;49
LEMD_DCL;19;7;22:00;19
LEMD_DCL;19;7;23:00;3
LEMD_DCL;20;7;0:00;4
LEMD_DCL;20;7;1:00;2
LEMD_DCL;20;7;2:00;8
LEMD_DCL;20;7;3:00;10
LEMD_DCL;20;7;4:00;43
LEMD_DCL;20;7;5:00;61
LEMD_DCL;20;7;6:00;59
LEMD_DCL;20;7;7:00;71
LEMD_DCL;20;7;8:00;83
LEMD_DCL;20;7;9:00;71
LEMD_DCL;20;7;10:00;69
LEMD_DCL;20;7;11:00;66
LEMD_DCL;20;7;12:00;83
LEMD_DCL;20;7;13:00;92
LEMD_DCL;20;7;14:00;67
LEMD_DCL;20;7;15:00;41
LEMD_DCL;20;7;16:00;60
LEMD_DCL;20;7;17:00;58
LEMD_DCL;20;7;18:00;57
LEMD_DCL;20;7;19:00;62
LEMD_DCL;20;7;20:00;48
LEMD_DCL;20;7;21:00;44
LEMD_DCL;20;7;22:00;20
LEMD_DCL;20;7;23:00;5
LEMD_DCL;21;7;0:00;4
LEMD_DCL;21;7;1:00;4
LEMD_DCL;21;7;2:00;2
LEMD_DCL;21;7;3:00;7
LEMD_DCL;21;7;4:00;40
LEMD_DCL;21;7;5:00;54
LEMD_DCL;21;7;6:00;60
LEMD_DCL;21;7;7:00;59
LEMD_DCL;21;7;8:00;74
LEMD_DCL;21;7;9:00;73
LEMD_DCL;21;7;10:00;66
LEMD_DCL;21;7;11:00;67
LEMD_DCL;21;7;12:00;83
LEMD_DCL;21;7;13:00;98
LEMD_DCL;21;7;14:00;78
LEMD_DCL;21;7;15:00;46
LEMD_DCL;21;7;16:00;66
LEMD_DCL;21;7;17:00;70
LEMD_DCL;21;7;18:00;71
LEMD_DCL;21;7;19:00;72
LEMD_DCL;21;7;20:00;67
LEMD_DCL;21;7;21:00;51
LEMD_DCL;21;7;22:00;21
LEMD_DCL;21;7;23:00;5
LEMD_DCL;22;7;0:00;4
LEMD_DCL;22;7;1:00;2
LEMD_DCL;22;7;2:00;8
LEMD_DCL;22;7;3:00;12
LEMD_DCL;22;7;4:00;43
LEMD_DCL;22;7;5:00;72
LEMD_DCL;22;7;6:00;67
LEMD_DCL;22;7;7:00;78
LEMD_DCL;22;7;8:00;87
LEMD_DCL;22;7;9:00;80
LEMD_DCL;22;7;10:00;81
LEMD_DCL;22;7;11:00;67
LEMD_DCL;22;7;12:00;85
LEMD_DCL;22;7;13:00;93
LEMD_DCL;22;7;14:00;75
LEMD_DCL;22;7;15:00;53
LEMD_DCL;22;7;16:00;73
LEMD_DCL;22;7;17:00;67
LEMD_DCL;22;7;18:00;76
LEMD_DCL;22;7;19:00;72
LEMD_DCL;22;7;20:00;61
LEMD_DCL;22;7;21:00;47
LEMD_DCL;22;7;22:00;20
LEMD_DCL;22;7;23:00;5
LEMD_DCL;23;7;0:00;2
LEMD_DCL;23;7;1:00;3
LEMD_DCL;23;7;2:00;8
LEMD_DCL;23;7;3:00;17
LEMD_DCL;23;7;4:00;45
LEMD_DCL;23;7;5:00;74
LEMD_DCL;23;7;6:00;68
LEMD_DCL;23;7;7:00;82
LEMD_DCL;23;7;8:00;86
LEMD_DCL;23;7;9:00;78
LEMD_DCL;23;7;10:00;73
LEMD_DCL;23;7;11:00;69
LEMD_DCL;23;7;12:00;78
LEMD_DCL;23;7;13:00;90
LEMD_DCL;23;7;14:00;71
LEMD_DCL;23;7;15:00;45
LEMD_DCL;23;7;16:00;67
LEMD_DCL;23;7;17:00;75
LEMD_DCL;23;7;18:00;81
LEMD_DCL;23;7;19:00;67
LEMD_DCL;23;7;20:00;67
LEMD_DCL;23;7;21:00;51
LEMD_DCL;23;7;22:00;16
LEMD_DCL;23;7;23:00;6
LEMD_DCL;24;7;0:00;3
LEMD_DCL;24;7;1:00;2
LEMD_DCL;24;7;2:00;4
LEMD_DCL;24;7;3:00;17
LEMD_DCL;24;7;4:00;46
LEMD_DCL;24;7;5:00;69
LEMD_DCL;24;7;6:00;72
LEMD_DCL;24;7;7:00;76
LEMD_DCL;24;7;8:00;91
LEMD_DCL;24;7;9:00;73
LEMD_DCL;24;7;10:00;76
LEMD_DCL;24;7;11:00;66
LEMD_DCL;24;7;12:00;80
LEMD_DCL;24;7;13:00;95
LEMD_DCL;24;7;14:00;74
LEMD_DCL;24;7;15:00;43
LEMD_DCL;24;7;16:00;70
LEMD_DCL;24;7;17:00;70
LEMD_DCL;24;7;18:00;73
LEMD_DCL;24;7;19:00;72
LEMD_DCL;24;7;20:00;69
LEMD_DCL;24;7;21:00;49
LEMD_DCL;24;7;22:00;18
LEMD_DCL;24;7;23:00;4
LEMD_DCL;25;7;0:00;2
LEMD_DCL;25;7;1:00;2
LEMD_DCL;25;7;2:00;5
LEMD_DCL;25;7;3:00;17
LEMD_DCL;25;7;4:00;44
LEMD_DCL;25;7;5:00;70
LEMD_DCL;25;7;6:00;69
LEMD_DCL;25;7;7:00;73
LEMD_DCL;25;7;8:00;81
LEMD_DCL;25;7;9:00;80
LEMD_DCL;25;7;10:00;75
LEMD_DCL;25;7;11:00;66
